source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for iPhone,__he Chinese say (about Trump__ Trade War &amp; Tariffs) __e brought us to the table._ This is the most prosperous economy the world has ever seen and it__ going to be a very prosperous economy._ Jamie Dimon on @60Minutes  Thank you President Trump &amp; the Republican Party!,11-11-2019 14:25:38,13655,51929,FALSE,1.1939E+18
Twitter for iPhone,__.S. Winning Trade War With China In Dollars._ CNBC,09-04-2019 13:52:58,13265,60602,FALSE,1.16925E+18
Twitter for iPhone,The real trade war began 30 years ago and we lost. This is a bright new Age the Age of Enlightenment. We don__ lose anymore! https://t.co/5ECmBpsI6D,05-25-2019 06:57:23,18988,69665,FALSE,1.13218E+18
Twitter for iPhone,The only problem our economy has is the Fed. They don__ have a feel for the Market they don__ understand necessary Trade Wars or Strong Dollars or even Democrat Shutdowns over Borders. The Fed is like a powerful golfer who can__ score because he has no touch - he can__ putt!,12-24-2018 15:55:22,30508,125022,FALSE,1.07723E+18
Twitter for iPhone,China just announced that their economy is growing much slower than anticipated because of our Trade War with them. They have just suspended U.S. Tariff Hikes. U.S. is doing very well. China wants to make a big and very comprehensive deal. It could happen and rather soon!,12-14-2018 16:35:43,27243,128368,FALSE,1.07362E+18
Twitter for iPhone,China just announce the there economy is growing much slower than anticipated because of our Trade War with them. They have just suspended U.S. Tariff Hikes. U.S. is doing very well. China wants to make a big and very comprehensive deal. It could happen and rather soon!,12-14-2018 16:25:59,2749,10439,FALSE,1.07362E+18
Twitter for iPhone,Early this year Harley-Davidson said they would move much of their plant operations in Kansas City to Thailand. That was long before Tariffs were announced. Hence they were just using Tariffs/Trade War as an excuse. Shows how unbalanced &amp; unfair trade is but we will fix it.....,06-26-2018 11:16:36,14304,64499,FALSE,1.01157E+18
Twitter for iPhone,When you__e almost 800 Billion Dollars a year down on Trade you can__ lose a Trade War! The U.S. has been ripped off by other countries for years on Trade time to get smart!,06-02-2018 21:23:15,30370,129712,FALSE,1.00302E+18
Twitter for iPhone,RT @realDonaldTrump: We are not in a trade war with China that war was lost many years ago by the foolish or incompetent people who repr_,04-06-2018 11:29:12,37272,0,TRUE,9.82219E+17
Twitter for iPhone,We are not in a trade war with China that war was lost many years ago by the foolish or incompetent people who represented the U.S. Now we have a Trade Deficit of $500 Billion a year with Intellectual Property Theft of another $300 Billion. We cannot let this continue!,04-04-2018 11:22:03,37281,144378,FALSE,9.81492E+17
Twitter for iPhone,When a country (USA) is losing many billions of dollars on trade with virtually every country it does business with trade wars are good and easy to win. Example when we are down $100 billion with a certain country and they get cute don__ trade anymore-we win big. It__ easy!,03-02-2018 10:50:34,22759,100825,FALSE,9.69525E+17